t,left,right
2.009805679321289,20.0,20.0
2.053663730621338,40.0,17.0
2.1057322025299072,60.0,14.0
2.1534981727600098,80.0,11.0
2.203913450241089,100.0,12.0
2.25361704826355,120.0,16.0
2.304736852645874,137.0,19.0
2.3534812927246094,151.0,26.0
2.4052133560180664,164.0,35.0
2.453674554824829,176.0,42.0
2.5036466121673584,182.0,46.0
2.553673267364502,186.0,48.0
2.603769540786743,191.0,50.0
2.6536242961883545,197.0,51.0
2.7040328979492188,202.0,53.0
2.753761053085327,201.0,52.0
2.8076915740966797,195.0,48.0
2.8548665046691895,185.0,42.0
2.910266160964966,177.0,37.0
2.9531710147857666,167.0,31.0
3.0031676292419434,156.0,24.0
3.0536770820617676,146.0,18.0
3.1041500568389893,139.0,14.0
3.1531810760498047,136.0,12.0
3.203549385070801,135.0,11.0
3.2533762454986572,136.0,12.0
3.3032515048980713,138.0,13.0
3.3541688919067383,142.0,15.0
3.405101776123047,146.0,18.0
3.4533722400665283,150.0,20.0
3.50422739982605,154.0,23.0
3.5538108348846436,156.0,24.0
3.60361647605896,158.0,25.0
3.653362989425659,158.0,25.0
3.7032573223114014,157.0,25.0
3.753870964050293,156.0,24.0
3.8053770065307617,154.0,23.0
3.853973865509033,153.0,22.0
3.9092044830322266,152.0,22.0
3.953824281692505,153.0,22.0
4.003602027893066,154.0,23.0
4.054154634475708,155.0,23.0
4.1043541431427,157.0,25.0
4.153717279434204,159.0,26.0
4.205013036727905,163.0,28.0
4.253474712371826,166.0,30.0
4.306025266647339,169.0,32.0
4.353503465652466,172.0,34.0
4.403123140335083,176.0,36.0
4.453588485717773,179.0,38.0
4.503831386566162,181.0,39.0
4.5537683963775635,181.0,40.0
4.609022855758667,182.0,41.0
4.653273105621338,183.0,41.0
4.703143119812012,184.0,41.0
4.754424095153809,184.0,42.0
4.804240942001343,184.0,43.0
4.853241205215454,184.0,43.0
4.908977270126343,184.0,44.0
4.9532151222229,183.0,44.0
5.003103256225586,182.0,44.0
5.0546183586120605,181.0,44.0
5.104320287704468,181.0,44.0
5.154259443283081,179.0,44.0
5.203876972198486,179.0,44.0
5.2534942626953125,178.0,44.0
5.3032755851745605,177.0,43.0
5.353298902511597,174.0,42.0
5.404102563858032,173.0,42.0
5.453749418258667,173.0,41.0
5.505094289779663,173.0,43.0
5.554385423660278,173.0,43.0
5.606367349624634,172.0,43.0
5.653929710388184,171.0,43.0
5.70419454574585,170.0,44.0
5.753960847854614,168.0,46.0
5.803792476654053,168.0,47.0
5.853346824645996,165.0,46.0
5.903289556503296,163.0,46.0
5.953370571136475,158.0,44.0
6.0040082931518555,157.0,53.0
6.053627252578735,173.0,65.0
6.103901386260986,185.0,78.0
6.153327465057373,193.0,89.0
6.203813791275024,210.0,109.0
6.253364324569702,210.0,109.0
6.304549932479858,220.0,118.0
6.3538596630096436,228.0,129.0
6.404711484909058,219.0,139.0
6.453059673309326,213.0,151.0
6.503009557723999,198.0,161.0
6.553748607635498,198.0,161.0
6.604654550552368,194.0,155.0
6.654245138168335,193.0,149.0
6.70391321182251,192.0,146.0
6.7530717849731445,188.0,139.0
6.80316686630249,182.0,125.0
6.853673458099365,194.0,111.0
6.903259992599487,195.0,102.0
6.953629493713379,196.0,98.0
7.003806829452515,194.0,93.0
7.053285837173462,191.0,88.0
7.103738069534302,184.0,79.0
7.154322624206543,186.0,75.0
7.203914403915405,182.0,70.0
7.253385782241821,178.0,65.0
7.304188251495361,176.0,62.0
7.35358452796936,172.0,55.0
7.403568267822266,167.0,51.0
7.454509973526001,164.0,47.0
7.503351449966431,162.0,46.0
7.553946256637573,157.0,45.0
7.608390808105469,152.0,40.0
7.653862237930298,146.0,36.0
7.7035393714904785,143.0,36.0
7.75372052192688,139.0,36.0
7.803845167160034,130.0,40.0
7.854739427566528,133.0,36.0
7.903508186340332,134.0,35.0
7.9535157680511475,138.0,35.0
8.005775213241577,139.0,36.0
8.053465843200684,141.0,38.0
8.103971481323242,141.0,40.0
8.15357518196106,141.0,43.0
8.20344591140747,141.0,46.0
8.253714084625244,140.0,51.0
8.304010152816772,136.0,58.0
8.35352349281311,134.0,63.0
8.40379786491394,140.0,59.0
8.453655004501343,144.0,55.0
8.504015445709229,150.0,52.0
8.554390907287598,155.0,52.0
8.603429079055786,160.0,52.0
8.653763055801392,163.0,51.0
8.70498538017273,163.0,49.0
8.754879236221313,163.0,48.0
8.804474353790283,162.0,46.0
8.853947401046753,161.0,45.0
8.90429162979126,160.0,43.0
8.954324960708618,159.0,42.0
9.003482341766357,158.0,41.0
9.053524494171143,156.0,40.0
9.103315591812134,154.0,39.0
9.153461933135986,151.0,38.0
9.203119039535522,146.0,35.0
9.25425124168396,140.0,33.0
9.303722381591797,134.0,32.0
9.354003190994263,129.0,32.0
9.403655052185059,120.0,35.0
9.453726053237915,111.0,39.0
9.503515481948853,97.0,49.0
9.553276538848877,77.0,67.0
9.603160381317139,57.0,85.0
9.653783559799194,40.0,100.0
9.704989433288574,30.0,107.0
9.753637075424194,25.0,110.0
9.803345203399658,22.0,111.0
9.853492259979248,17.0,112.0
9.903377294540405,14.0,112.0
9.95395040512085,11.0,112.0
10.007124423980713,8.0,110.0
10.054288864135742,5.0,108.0
10.103944063186646,3.0,106.0
10.153775691986084,0.0,103.0
10.203259706497192,-1.0,100.0
10.253381729125977,-4.0,96.0
10.303609132766724,-5.0,89.0
10.353757858276367,1.0,76.0
10.404067039489746,12.0,60.0
10.453817129135132,27.0,40.0
10.503260135650635,43.0,20.0
10.55347204208374,49.0,11.0
10.60380482673645,51.0,9.0
10.65341854095459,49.0,9.0
10.703523874282837,47.0,11.0
10.75382399559021,46.0,12.0
10.803360939025879,46.0,12.0
10.853509902954102,46.0,12.0
10.903683423995972,47.0,12.0
10.953779697418213,48.0,11.0
11.00368332862854,49.0,11.0
11.053459882736206,50.0,10.0
11.103440761566162,52.0,9.0
11.153942108154297,54.0,7.0
11.203346967697144,56.0,6.0
11.253819465637207,58.0,5.0
11.303647756576538,59.0,4.0
11.353857278823853,60.0,3.0
11.40385365486145,61.0,3.0
11.45350432395935,62.0,2.0
11.503536224365234,63.0,2.0
11.553499937057495,63.0,1.0
11.603888034820557,64.0,1.0
11.653931856155396,64.0,1.0
11.704551935195923,63.0,1.0
11.753453969955444,63.0,1.0
11.804033279418945,63.0,2.0
11.85373854637146,63.0,2.0
11.904322385787964,62.0,2.0
11.95395803451538,63.0,2.0
12.00363802909851,63.0,2.0
12.05347204208374,64.0,1.0
12.103257656097412,64.0,1.0
12.153347492218018,65.0,0.0
12.203467607498169,65.0,0.0
12.25400447845459,65.0,0.0
12.306579828262329,65.0,0.0
12.354608535766602,65.0,0.0
12.403610706329346,65.0,0.0
12.45413327217102,65.0,0.0
12.503201961517334,65.0,1.0
12.55386471748352,65.0,1.0
12.60390329360962,65.0,1.0
12.653501987457275,65.0,1.0
12.704920768737793,65.0,1.0
12.753437519073486,65.0,1.0
12.808213710784912,64.0,1.0
12.853586196899414,64.0,1.0
12.904097557067871,64.0,1.0
12.95492172241211,64.0,1.0
