run_id,timestamp_iso,result,pose_error_m,yaw_error_rad,ref_dock_x,ref_dock_y,ref_dock_yaw_deg
20260525_181233,2026-05-25T18:14:14,SUCCEEDED,0.467041,0.262987,2.1972,1.9868,-175.62
20260525_181233,2026-05-25T18:15:31,FAILED_NAV2,0.057403,0.371096,1.7143,2.1227,-126.50
20260525_183045,2026-05-25T18:32:14,SUCCEEDED,0.122067,0.288147,1.0870,2.2419,-155.55
20260525_183501,2026-05-25T18:36:50,CANCELLED,,,0.0000,0.0000,0.00
20260525_183501,2026-05-25T18:37:09,CANCELLED,,,0.0000,0.0000,0.00
20260525_184201,2026-05-25T18:45:15,CANCELLED,,,0.0000,0.0000,0.00
20260525_184724,2026-05-25T18:50:02,ABORTED_OVERSHOOT,0.113479,2.668638,0.9306,0.4586,-71.71
20260525_185411,2026-05-25T18:55:09,CANCELLED,,,0.0000,0.0000,0.00
20260525_185411,2026-05-25T18:58:02,CANCELLED,,,0.0000,0.0000,0.00
20260525_192927,2026-05-25T19:30:29,CANCELLED,,,0.0000,0.0000,0.00
20260525_192927,2026-05-25T19:31:16,CANCELLED,,,0.0000,0.0000,0.00
20260525_192927,2026-05-25T19:31:29,CANCELLED,,,0.0000,0.0000,0.00
20260525_193237,2026-05-25T19:34:02,CANCELLED,,,0.0000,0.0000,0.00
20260525_194238,2026-05-25T19:46:00,CANCELLED,,,0.0000,0.0000,0.00
