elapsed_s,timestamp_iso,state,cpu_pct,ram_pct,gpu_pct,cmd_vel_x,cmd_vel_z
0.65,2026-05-25T19:35:49.105974,IDLE,62.6,56.2,0.0,0.0000,0.0000
1.15,2026-05-25T19:35:49.604381,IDLE,53.8,56.2,0.0,0.0000,0.0000
1.65,2026-05-25T19:35:50.104444,IDLE,59.5,56.2,0.0,0.0000,0.0000
2.15,2026-05-25T19:35:50.604830,IDLE,55.2,56.2,0.0,0.0000,0.0000
2.66,2026-05-25T19:35:51.107237,IDLE,57.4,56.2,0.0,0.0000,0.0000
3.15,2026-05-25T19:35:51.604598,IDLE,56.3,56.2,0.0,0.0000,0.0000
3.65,2026-05-25T19:35:52.104358,IDLE,61.1,56.2,0.0,0.0000,0.0000
4.15,2026-05-25T19:35:52.604215,IDLE,59.2,56.2,0.0,0.0000,0.0000
4.66,2026-05-25T19:35:53.107390,IDLE,56.1,56.2,0.0,0.0000,0.0000
5.15,2026-05-25T19:35:53.605114,IDLE,58.2,56.2,0.0,0.0000,0.0000
