# Navigation Metrics Summary
nav_result,SUCCEEDED
start_x_m,2.7131
start_y_m,2.4207
start_yaw_deg,-119.64
goal_x_m,1.7241
goal_y_m,0.6824
goal_yaw_deg,105.36
goal_dist_m,2.0
final_x_m,1.6826
final_y_m,0.5828
final_yaw_deg,116.25
delta_x_m,-0.0415
delta_y_m,-0.0996
delta_yaw_deg,+10.89
cte_peak_m,0.1495
cte_avg_m,0.0961
cte_samples,293
actual_path_pts,294
plan_waypoints,19

"# Actual path driven (TF map->base_link, map frame)"
actual_x_m,actual_y_m
2.7144,2.4219
2.7150,2.4228
2.7150,2.4230
2.7150,2.4230
2.7150,2.4230
2.7142,2.4216
2.7142,2.4216
2.7136,2.4204
2.7125,2.4187
2.7125,2.4187
2.7108,2.4157
2.7093,2.4132
2.7093,2.4132
2.7048,2.4055
2.7020,2.4006
2.7020,2.4006
2.6956,2.3896
2.6921,2.3834
2.6921,2.3834
2.6877,2.3757
2.6785,2.3588
2.6785,2.3588
2.6705,2.3431
2.6661,2.3341
2.6614,2.3245
2.6570,2.3144
2.6528,2.3047
2.6487,2.2949
2.6450,2.2840
2.6414,2.2736
2.6414,2.2736
2.6357,2.2543
2.6332,2.2445
2.6308,2.2343
2.6289,2.2257
2.6270,2.2157
2.6253,2.2055
2.6253,2.2055
2.6225,2.1878
2.6236,2.1772
2.6236,2.1772
2.6295,2.1542
2.6295,2.1542
2.6294,2.1320
2.6294,2.1320
2.6288,2.1197
2.6279,2.1029
2.6266,2.0857
2.6256,2.0670
2.6251,2.0510
2.6247,2.0361
2.6245,2.0214
2.6265,2.0070
2.6309,1.9922
2.6359,1.9778
2.6387,1.9630
2.6396,1.9516
2.6418,1.9239
2.6426,1.9129
2.6437,1.8997
2.6449,1.8863
2.6459,1.8736
2.6472,1.8604
2.6502,1.8502
2.6549,1.8452
2.6598,1.8385
2.6598,1.8385
2.6638,1.8171
2.6650,1.8046
2.6650,1.8046
2.6671,1.7805
2.6683,1.7682
