wall_time,elapsed_s,phase,cam_tag_x_m,cam_tag_z_m,cam_tag_dist_m,cam_marker_yaw_deg,robot_x,robot_y,robot_yaw_deg,tag_odom_x,tag_odom_y,dock_approach_yaw_deg,t_robot_m,lat_err_m,t_carrot_m,carrot_odom_x,carrot_odom_y,angle_to_carrot_deg,heading_err_deg,wz_proportional,wz_after_deadband,wz_commanded,vx_commanded,k_steer,friction_deadband,lookahead_dist,max_wz,v_linear,actual_vx,actual_wz
1779768591.5234,0.032,SERVO,0.2100,0.6534,0.6863,-0.27,1.7562,0.4087,-25.57,2.3687,-0.1171,-26.17,-0.7816,0.2018,0.2300,2.5751,-0.2185,-37.45,-11.88,-2.3948,-2.3948,-2.3948,0.2000,30.000,0.000,0.100,3.500,0.200,0.0000,0.0000
1779768591.6247,0.133,SERVO,0.2093,0.6515,0.6843,-0.63,1.7566,0.4085,-25.30,2.3691,-0.1140,-26.17,-0.7801,0.1989,0.2300,2.5755,-0.2154,-37.30,-12.00,-2.4235,-2.4235,-2.4235,0.2000,30.000,0.000,0.100,3.500,0.200,0.2000,-2.3948
1779768591.7235,0.232,SERVO,0.2092,0.6516,0.6844,-0.20,1.7576,0.4080,-25.19,2.3723,-0.1122,-26.17,-0.7811,0.1959,0.2300,2.5787,-0.2137,-37.13,-11.94,-2.4113,-2.4113,-2.4113,0.2000,30.000,0.000,0.100,3.500,0.200,0.2000,-2.4235
1779768591.8243,0.333,SERVO,0.2092,0.6516,0.6844,-0.20,1.7599,0.4069,-25.39,2.3723,-0.1122,-26.17,-0.7785,0.1959,0.2300,2.5787,-0.2137,-37.16,-11.77,-2.3832,-2.3832,-2.3832,0.2000,30.000,0.000,0.100,3.500,0.200,0.2000,-2.4113
1779768591.9236,0.432,SERVO,0.2092,0.6516,0.6844,-0.20,1.7684,0.4027,-27.02,2.3723,-0.1122,-26.17,-0.7690,0.1959,0.2300,2.5787,-0.2137,-37.26,-10.24,-2.0952,-2.0952,-2.0952,0.2000,30.000,0.000,0.100,3.500,0.200,0.2000,-2.3832
1779768592.0279,0.537,SERVO,0.2092,0.6516,0.6844,-0.20,1.7802,0.3964,-29.03,2.3723,-0.1122,-26.17,-0.7557,0.1954,0.2300,2.5787,-0.2137,-37.38,-8.35,-1.7345,-1.7345,-1.7345,0.2000,30.000,0.000,0.100,3.500,0.200,0.2000,-2.0952
1779768592.1239,0.633,SERVO,0.2092,0.6516,0.6844,-0.20,1.7962,0.3861,-34.60,2.3723,-0.1122,-26.17,-0.7368,0.1932,0.2300,2.5787,-0.2137,-37.47,-2.86,-0.6076,-0.6076,-0.6076,0.2000,30.000,0.000,0.100,3.500,0.200,0.2000,-1.7345
1779768592.2236,0.732,SERVO,0.2092,0.6516,0.6844,-0.20,1.8102,0.3750,-40.32,2.3723,-0.1122,-26.17,-0.7193,0.1894,0.2300,2.5787,-0.2137,-37.45,2.87,0.6214,0.6214,0.6214,0.2000,30.000,0.000,0.100,3.500,0.200,0.2000,-0.6076
1779768592.3235,0.832,SERVO,0.2092,0.6516,0.6844,-0.20,1.8247,0.3618,-44.73,2.3723,-0.1122,-26.17,-0.7005,0.1841,0.2300,2.5787,-0.2137,-37.35,7.38,1.6240,1.6240,1.6240,0.2000,30.000,0.000,0.100,3.500,0.200,0.2000,0.6214
1779768592.4251,0.934,SERVO,0.2092,0.6516,0.6844,-0.20,1.8380,0.3464,-51.53,2.3723,-0.1122,-26.17,-0.6817,0.1761,0.2300,2.5787,-0.2137,-37.10,14.43,3.2213,3.2213,3.2213,0.2000,30.000,0.000,0.100,3.500,0.200,0.2000,1.6240
1779768592.5250,1.034,SERVO,0.2092,0.6516,0.6844,-0.20,1.8497,0.3335,-51.94,2.3723,-0.1122,-26.17,-0.6656,0.1696,0.2300,2.5787,-0.2137,-36.89,15.05,3.4187,3.4187,3.4187,0.2000,30.000,0.000,0.100,3.500,0.200,0.2000,3.2213
1779768592.6248,1.134,SERVO,-0.1369,0.5487,0.5655,1.52,1.8636,0.3165,-52.90,2.3811,-0.1145,-26.17,-0.6546,0.1586,0.2300,2.5876,-0.2160,-36.33,16.57,3.8074,3.8074,3.5000,0.2000,30.000,0.000,0.100,3.500,0.200,0.2000,3.4187
1779768592.7245,1.233,SERVO,-0.1369,0.5443,0.5613,1.68,1.8771,0.3001,-52.07,2.3946,-0.1370,-26.17,-0.6572,0.1641,0.2300,2.6010,-0.2384,-36.64,15.42,3.5372,3.5372,3.5000,0.2000,30.000,0.000,0.100,3.500,0.200,0.2000,3.5000
1779768592.8240,1.333,SERVO,-0.1370,0.5387,0.5558,1.85,1.8892,0.2855,-50.89,2.4056,-0.1359,-26.17,-0.6493,0.1505,0.2300,2.6120,-0.2373,-35.88,15.01,3.4832,3.4832,3.4832,0.2000,30.000,0.000,0.100,3.500,0.200,0.2000,3.5000
1779768592.9234,1.432,SERVO,-0.1370,0.5387,0.5558,1.85,1.9013,0.2744,-44.61,2.4056,-0.1359,-26.17,-0.6335,0.1459,0.2300,2.6120,-0.2373,-35.75,8.86,2.1107,2.1107,2.1107,0.2000,30.000,0.000,0.100,3.500,0.200,0.2000,3.4832
1779768593.0270,1.536,SERVO,-0.1370,0.5387,0.5558,1.85,1.9114,0.2657,-39.94,2.4056,-0.1359,-26.17,-0.6206,0.1425,0.2300,2.6120,-0.2373,-35.67,4.27,1.0359,1.0359,1.0359,0.2000,30.000,0.000,0.100,3.500,0.200,0.2000,2.1107
